id,user,transaction_date,sales_amount,join_date,region,,
47227,257,2016-01-01,19.59,2008-03-06,B,,
47228,307,2016-01-02,61.34,1999-08-20,B,,
47229,378,2016-01-02,44.99,2004-03-18,B,,
47230,253,2016-01-02,16.31,2009-08-01,B,,
47231,4,2016-01-02,18.77,2011-07-28,B,,
47232,1429,2016-01-02,22.78,2010-08-10,G,,
47233,147,2016-01-02,8.11,2011-06-24,I,,
47234,309,2016-01-02,51.97,2012-02-04,B,,
47235,1781,2016-01-02,20.41,2013-05-24,C,,
47236,289,2016-01-02,32.70,2012-03-06,C,,
47237,1873,2016-01-02,47.21,2014-12-22,I,,
47238,2852,2016-01-02,26.91,2012-11-15,E,,
47239,1656,2016-01-02,22.80,2013-07-01,G,,
47240,3297,2016-01-02,63.81,2016-01-02,B,,
47241,3447,2016-01-02,68.30,2016-01-02,A,,
47242,1627,2016-01-02,10.57,2015-01-13,I,,
47243,3895,2016-01-02,65.03,2016-01-02,B,,
47244,2600,2016-01-02,45.67,2015-01-17,A,,
47245,4868,2016-01-02,126.48,2014-12-14,L,,
47246,2566,2016-01-02,19.15,2013-06-29,D,,
47247,3649,2016-01-02,13.46,2013-11-19,C,,
47248,3803,2016-01-02,48.44,2013-07-01,L,,
47249,3455,2016-01-02,36.69,2013-07-25,I,,
47250,5788,2016-01-02,79.17,2013-09-02,H,,
47251,4240,2016-01-02,17.69,2013-08-07,H,,
47252,6335,2016-01-02,9.01,2015-01-26,E,,
47253,5949,2016-01-02,18.68,2013-12-18,I,,
47254,6608,2016-01-02,19.66,2016-01-02,S,,
47255,5260,2016-01-02,20.00,2013-12-03,C,,
47256,7223,2016-01-02,50.96,2013-09-02,M,,
47257,6993,2016-01-02,49.10,2013-11-28,I,,
47258,5351,2016-01-02,27.87,2014-01-29,F,,
47259,7921,2016-01-02,55.17,2005-06-09,E,,
47260,7923,2016-01-02,39.26,2014-12-18,H,,
47261,6608,2016-01-02,8.13,2016-01-02,S,,
47262,5728,2016-01-02,62.32,2003-08-25,C,,
47263,8783,2016-01-02,8.11,2010-08-05,F,,
47264,6755,2016-01-02,12.28,2015-01-05,C,,
47265,191,2016-01-03,69.68,2001-01-01,B,,
47266,706,2016-01-03,58.34,2012-05-16,D,,
47267,1164,2016-01-03,69.96,2012-10-11,B,,
47268,182,2016-01-03,53.43,2010-04-03,B,,
47269,711,2016-01-03,66.21,2002-04-06,L,,
47270,1568,2016-01-03,56.97,2012-08-09,B,,
47271,2208,2016-01-03,52.71,2013-07-01,B,,
47272,1985,2016-01-03,38.06,2012-03-17,I,,
47273,2461,2016-01-03,36.00,2014-11-12,A,,
47274,3878,2016-01-03,16.79,2014-03-21,C,,
47275,2363,2016-01-03,31.58,2013-11-28,K,,
47276,4618,2016-01-03,23.35,2014-03-21,C,,
47277,5454,2016-01-03,53.20,2013-08-21,S,,
47278,6065,2016-01-03,17.13,2014-09-17,C,,
47279,6689,2016-01-03,15.15,2011-01-03,L,,
47280,5024,2016-01-03,52.87,2014-01-09,F,,
47281,6572,2016-01-03,111.67,2005-06-23,M,,
47282,6744,2016-01-03,10.57,2003-09-09,G,,
47283,6859,2016-01-03,52.74,2015-04-26,P,,
47284,5213,2016-01-03,57.44,2014-03-21,C,,
47285,6389,2016-01-03,31.13,2016-01-03,M,,
47286,53,2016-01-04,37.30,2000-03-23,B,,
47287,980,2016-01-04,35.98,2014-07-15,M,,
47288,807,2016-01-04,8.16,2010-02-14,B,,
47289,16,2016-01-04,2.38,2001-01-01,B,,
47290,724,2016-01-04,78.61,2009-10-25,C,,
47291,307,2016-01-04,30.67,1999-08-20,B,,
47292,1285,2016-01-04,72.62,2000-02-17,B,,
47293,1435,2016-01-04,107.03,2005-06-05,C,,
47294,336,2016-01-04,7.31,2010-05-28,N,,
47295,336,2016-01-04,66.33,2010-05-28,N,,
47296,1285,2016-01-04,5.66,2000-02-17,B,,
47297,1364,2016-01-04,17.13,2010-08-06,B,,
47298,2599,2016-01-04,71.86,2015-06-11,E,,
47299,2621,2016-01-04,16.39,2014-05-30,E,,
47300,1272,2016-01-04,13.25,2012-10-27,B,,
