id,user,transaction_date,sales_amount,join_date,region
1,665,2013-01-02,31.77,2011-02-08,E
2,598,2013-01-02,6.20,2009-07-30,I
3,26,2013-01-02,35.03,2003-06-18,B
4,1358,2013-01-02,32.73,2013-01-02,K
5,671,2013-01-02,3.64,2008-05-27,E
6,498,2013-01-02,11.98,2003-03-05,D
7,4,2013-01-02,73.91,2011-07-28,B
8,651,2013-01-02,4.05,2011-06-13,H
9,1648,2013-01-02,20.09,2009-11-25,B
10,1941,2013-01-02,41.74,2011-05-08,M
11,1272,2013-01-02,25.12,2012-10-27,B
12,2383,2013-01-02,4.13,2013-01-02,E
13,2608,2013-01-02,54.38,2012-08-07,M
14,2065,2013-01-02,138.97,2013-07-01,S
15,1966,2013-01-02,20.01,2013-07-01,I
16,3207,2013-01-02,58.26,2013-09-02,I
17,4371,2013-01-02,29.72,2013-11-04,S
18,5590,2013-01-02,116.20,2013-09-02,C
19,5235,2013-01-02,114.78,2014-11-12,G
20,7834,2013-01-02,6.94,2013-01-02,C
21,7196,2013-01-02,11.30,2008-09-12,F
22,9564,2013-01-02,63.63,2013-01-02,I
23,163,2013-01-03,18.60,2012-09-21,B
24,307,2013-01-03,17.28,1999-08-20,B
25,173,2013-01-03,30.91,2007-06-05,C
26,901,2013-01-03,57.92,2010-02-23,M
27,987,2013-01-03,84.73,2004-06-08,B
28,309,2013-01-03,19.38,2012-02-04,B
29,28,2013-01-03,37.90,2011-04-16,J
30,459,2013-01-03,8.26,2012-10-22,B
31,19,2013-01-03,34.00,2002-06-06,C
32,1499,2013-01-03,31.36,2012-07-11,E
33,4,2013-01-03,30.12,2011-07-28,B
34,1470,2013-01-03,20.74,2012-10-15,D
35,1873,2013-01-03,23.43,2014-12-22,I
36,1459,2013-01-03,23.82,2011-10-19,I
37,1249,2013-01-03,1.86,2013-01-03,O
38,1249,2013-01-03,5.61,2013-01-03,O
39,1417,2013-01-03,22.73,2007-03-02,B
40,922,2013-01-03,50.00,2012-07-10,J
41,5366,2013-01-03,10.33,2014-11-10,E
42,4838,2013-01-03,48.72,2013-11-04,G
43,4443,2013-01-03,12.38,2013-08-21,F
44,5134,2013-01-03,0.42,2013-11-04,A
45,4681,2013-01-03,42.40,2013-08-01,E
46,4443,2013-01-03,23.55,2013-08-21,F
47,2347,2013-01-03,215.70,2013-07-25,L
48,4001,2013-01-03,19.53,2013-07-02,A
49,5624,2013-01-03,39.05,2012-05-08,C
50,3926,2013-01-03,13.96,2013-07-02,S
51,7455,2013-01-03,17.67,2014-02-10,I
52,7952,2013-01-03,95.35,2007-05-08,S
53,7448,2013-01-03,63.54,2004-07-13,E
54,8276,2013-01-03,71.90,2007-03-27,B
55,6328,2013-01-03,42.48,2011-03-30,S
56,6987,2013-01-03,18.18,2009-01-23,F
57,6890,2013-01-03,6.86,2012-05-16,L
58,305,2013-01-04,11.79,2001-01-01,B
59,305,2013-01-04,54.68,2001-01-01,B
60,264,2013-01-04,24.87,2004-06-17,B
61,96,2013-01-04,2.77,2008-01-11,M
62,769,2013-01-04,2.85,2010-05-31,B
63,488,2013-01-04,11.36,2010-09-12,N
64,253,2013-01-04,39.42,2009-08-01,B
65,1396,2013-01-04,18.07,2009-01-05,I
66,1462,2013-01-04,21.58,2011-02-02,I
67,1575,2013-01-04,12.31,2013-01-04,N
68,100,2013-01-04,54.33,2010-09-26,E
69,658,2013-01-04,154.25,2010-11-29,I
70,1230,2013-01-04,36.08,2013-01-04,C
71,4,2013-01-04,41.32,2011-07-28,B
72,1580,2013-01-04,47.23,2014-11-11,P
73,1876,2013-01-04,11.52,2013-07-01,C
74,2705,2013-01-04,3.95,2013-07-01,C
75,4366,2013-01-04,26.34,2013-08-21,G
76,5252,2013-01-04,10.49,2013-09-17,O
77,3487,2013-01-04,19.00,2013-07-02,B
78,4369,2013-01-04,55.98,2013-11-04,E
79,6208,2013-01-04,10.88,2012-06-23,E
80,7196,2013-01-04,15.69,2008-09-12,F
81,6908,2013-01-04,11.82,2013-12-18,H
82,5944,2013-01-04,23.71,2014-01-09,D
83,7465,2013-01-04,4.95,2003-07-14,S
84,8738,2013-01-04,79.84,2011-03-24,D
85,9022,2013-01-04,33.45,2013-01-04,C
86,6208,2013-01-04,47.65,2012-06-23,E
87,9769,2013-01-04,21.40,2006-03-14,S
